,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
CP_030,309.1753763,380.182918,232.7909,0.0,1805.869,0
CP_50,422.421583,333.7840402,173.0953212,0.663454661,1821.979191,0
CP_026,213.9415461,193.8261556,31.46622,0.0,1826.909,0
CP_51,423.7621451,576.7168781,98.11658449,0.0,1844.056094,0
CP_018,309.3752923,528.8756852,151.1991,0.0,1855.517,0
N_067,454.0016469,385.0548806,156.7174,0.0,1869.36,0
N_102,472.3567731,310.7762904,243.7409,0.0,1880.099,0
N_049,403.2136274,411.1594529,87.30537,0.0,1955.167,0
CP_56,496.0434442,414.7235538,115.9459156,1.971869312,2020.850546,0
N_038,385.5804653,370.096225,148.0537,0.152554091,2024.088,0
CP_70,522.1558987,430.4962947,88.67180474,0.0,2031.349003,0
CP_59,555.7992301,436.7696604,65.29411309,0.0,2055.842329,0
CP_032,186.8671039,424.7492091,342.9185,0.281850836,2062.115,0
CP_76,299.6189104,491.1583617,132.0588196,1.034017604,2065.474782,0
N_071,368.7114036,453.8708064,132.1947,20.10056716,2070.492,0
CP_011,308.3263353,386.9381491,224.5537,0.0,2167.286,0
N_093,310.508388,488.9249319,104.0407,0.0,2173.369,0
